filename,korean_name,asset_type,category,playback,bgm_handling,trigger,sample_rate,channels,duration_seconds
player_dash.wav,대쉬 발동음,SFX,core_actions,1회,유지,대쉬 입력이 아니라 실제 대쉬가 성공한 순간,44100,1,0.245
player_level_up.wav,레벨업 효과음,SFX,core_actions,1회,이후 선택 BGM 전환 가능,레벨이 실제 증가하고 증강 선택으로 들어가기 직전,44100,1,1.100
critical_hit.wav,치명타 적중음,SFX,core_actions,반복,유지,공격이 실제 치명타 판정을 받고 피해를 준 순간,44100,1,0.175
mini_stage_portal_spawn.wav,미니스테이지 포탈 생성음,SFX,core_actions,1회,유지,필드에 새 미니스테이지 포탈이 실제 생성되는 순간,44100,1,1.320
chest_open.wav,상자 오픈음,SFX,core_actions,1회,유지,플레이어가 상자를 실제로 열었을 때,44100,1,0.960
mini_stage_clear.wav,미니스테이지 성공음,SFX,core_actions,1회,Mini BGM 유지,목표를 달성하고 보상 상자가 등장하는 순간,44100,1,1.350
exp_pickup.wav,경험치 획득음,SFX,pickups,반복,유지,경험치 오브젝트 하나를 실제 획득할 때. 획득량과 무관하게 동일 파일 사용,44100,1,0.085
gold_pickup.wav,골드 획득음,SFX,pickups,반복,유지,골드를 실제 획득할 때,44100,1,0.135
silver_pickup.wav,실버 획득음,SFX,pickups,반복,유지,실버를 실제 획득할 때,44100,1,0.145
coin_pouch_pickup.wav,골드 주머니 획득음,SFX,pickups,1회,유지,일반 골드보다 큰 화폐 묶음을 획득할 때,44100,1,0.440
magnet_pickup.wav,자석 획득음,SFX,pickups,1회,유지,자석을 획득해 주변 아이템 흡인이 시작될 때,44100,1,0.500
bomb_pickup.wav,폭탄 획득·발동음,SFX,pickups,1회,유지,폭탄을 먹고 폭발 효과가 실제 발동될 때,44100,1,0.550
heal_pickup.wav,회복 아이템 획득음,SFX,pickups,1회,유지,회복 오브젝트를 실제 획득할 때,44100,1,0.580
red_potion_pickup.wav,빨간 포션 획득음,SFX,pickups,1회,유지,RedPotion을 실제 획득할 때,44100,1,0.600
special_item_pickup.wav,특수 아이템 획득음,SFX,pickups,1회,유지,일반 분류가 아닌 특수 아이템을 획득할 때,44100,1,0.660
rare_item_pickup.wav,희귀 아이템 획득음,SFX,pickups,1회,유지,희귀 보상 아이템을 획득할 때,44100,1,0.920
field_event_start.wav,필드 이벤트 시작음,SFX,field_events,1회,BGM 유지,이벤트 종류와 관계없이 실제 시작 순간 공통 재생,44100,1,0.920
acid_reflux_wave_pass.wav,산성 파도 통과음,SFX,field_events,반복,유지,산성 파도가 화면 또는 플레이어 영역을 쓸고 지나가는 순간,44100,1,0.950
peristalsis_tilt.wav,화면 기울기 효과음,SFX,field_events,1회,유지,화면이 실제로 기울기 시작하는 액션 순간,44100,1,0.670
coffee_transfusion_pour.wav,커피 수혈 낙하음,SFX,field_events,1회,유지,커피색 연출이 화면 위에서 아래로 내려오는 순간,44100,1,1.080
antacid_bubble_spawn.wav,제산제 버블 생성음,SFX,field_events,반복,유지,버블 하나가 실제 생성될 때마다,44100,1,0.205
acid_puddle_spawn.wav,위산 웅덩이 생성음,SFX,field_events,반복,유지,Acid Puddle 하나가 실제 생성될 때마다,44100,1,0.420
augment_select.wav,증강 선택 확정음,SFX,augment_ui,1회,이후 선택 BGM Stop,일반적인 증강 선택을 확정한 순간,44100,1,0.560
ui_click.wav,공통 버튼 클릭음,SFX,augment_ui,1회,유지,별도 전용음이 없는 일반 버튼을 눌렀을 때,44100,1,0.075
sniper_fire.wav,스나이퍼 발사음,SFX,special_monsters,반복,유지,실제 탄환 또는 투사체가 발사되는 순간,44100,1,0.235
trap_activate.wav,함정 몬스터 활성화음,SFX,special_monsters,1회,유지,휴면 상태에서 활성 상태로 바뀌는 순간,44100,1,0.580
digestive_enzyme_attack.wav,소화효소 공격음,SFX,special_monsters,반복,유지,소화효소 특수 몬스터가 실제 공격을 실행할 때,44100,1,0.380
acid_leech_wall_attach.wav,위산 거머리 벽 부착음,SFX,special_monsters,1회,유지,위산 거머리가 벽에 실제 고정되는 순간,44100,1,0.340
speed_buffer_cast.wav,이동속도 버퍼 시전음,SFX,special_monsters,반복 제한,유지,이동속도 버프를 실제 시전할 때,44100,1,0.660
defense_buffer_cast.wav,피해감소 버퍼 시전음,SFX,special_monsters,반복 제한,유지,피해감소 버프를 실제 시전할 때,44100,1,0.740
attack_speed_debuff_cast.wav,공격속도 디버퍼 시전음,SFX,special_monsters,반복 제한,유지,공격속도 디버프가 실제 적용될 때,44100,1,0.720
nutrition_thief_steal.wav,영양 도둑 강탈음,SFX,special_monsters,1회/반복,유지,영양 도둑이 자원을 실제 강탈할 때,44100,1,0.480
treasure_runner_spawn.wav,보물 러너 등장음,SFX,special_monsters,1회,유지,보물 러너가 필드에 실제 등장할 때,44100,1,0.720
augment_selection_bgm.wav,증강 선택 음악,BGM,augment_ui,전용 BGM / 루프,현재 BGM Pause,증강 선택창이 완전히 등장할 때 시작. 선택 완료 후 Stop하고 기존 BGM Resume,44100,2,18.462
