minute,design_target,normal_spawns_per_second,Slime,Blueberry cake,Bacteria,Donut,Shark ice cream,Gummy worm,model_mean_augments,model_effective_hit_damage
0,1,0.5,1.0,0.0,0.0,0.0,0.0,0.0,2.0,11.712510499999999
1,1.2,0.55,0.85,0.15,0.0,0.0,0.0,0.0,3.05,12.429962066666667
2,2,0.65,0.55,0.45,0.0,0.0,0.0,0.0,4.5793333333333335,13.538139258333334
3,3.5,0.85,0.25,0.35,0.4,0.0,0.0,0.0,5.979333333333333,14.517891491666667
4,4,1.0,0.1,0.2,0.7,0.0,0.0,0.0,7.509333333333333,15.609036024999998
5,5,1.25,0.05,0.1,0.6,0.25,0.0,0.0,9.237333333333334,16.945032796
6,4,0.7,0.04,0.08,0.23,0.65,0.0,0.0,10.979333333333333,18.179465547333333
7,3,0.45,0.03,0.07,0.15,0.75,0.0,0.0,12.407333333333334,19.276583000666665
8,6,1.25,0.03,0.05,0.1,0.57,0.25,0.0,14.454666666666666,20.869893307333335
9,6,1.35,0.02,0.04,0.09,0.3,0.55,0.0,18.110666666666667,23.575496471666664
10,6,1.45,0.02,0.03,0.05,0.15,0.75,0.0,22.694666666666667,27.134247739666666
11,7,1.6,0.02,0.03,0.05,0.1,0.8,0.0,27.60333333333333,30.751716372
12,7,1.8,0.01,0.02,0.04,0.08,0.6,0.25,31.906,33.738251393333336
13,8,2.1,0.01,0.02,0.03,0.04,0.35,0.55,35.32066666666667,36.129900641
14,9,2.4,0.01,0.01,0.02,0.03,0.18,0.75,38.098,37.946292443666664
15,10,2.6,0.005,0.005,0.01,0.02,0.06,0.9,40.446666666666665,39.43748795833333
